Name,File,Age,Gender,Race,Language,Words,Seconds,WPS,Readability,F0mean,F0median,YT_WER,FB_WER,MS_WER,GM_WER,WX_WER,ZM_WER,BJ_WER
Caroline Paul,CarolinePaul_2016W,53,F,White,Non-US,1780,765,2.325,6.67,206.87,207.79,0.02921,0.03876,0.03596,0.03933,0.06966,0.05337,0.05169
Carolyn Jones,CarolynJones_2016P,86,F,White,US,1668,653,2.556,6.73,194.08,190.48,0.01499,0.02638,0.01679,0.01918,0.03657,0.03237,0.02338
Carolyn Porco,CarolynPorco_2009U,56,F,White,US,476,204,2.337,8.67,206.84,207.79,0.03571,0.07563,0.03782,0.04412,0.09664,0.05252,0.06303
Carrie Nugent,CarrieNugent_2016U,32,F,White,US,912,370,2.463,7.94,214.5,216.22,0.0352,0.07261,0.0429,0.0484,0.12101,0.07371,0.07811
Carrie Poppy,CarriePoppy_2016X,,F,White,US,1832,783,2.34,6.25,238.6,238.81,0.07478,0.07314,0.0726,0.08679,0.14629,0.09225,0.1059
Cary Fowler,CaryFowler_2009G,60,M,White,US,2595,1022,2.538,6.48,148.44,134.45,0.04168,0.05828,0.04631,0.05481,0.07873,0.06368,0.05866
Catherine Bracy,CatherineBracy_2013Z,,F,Black,US,1560,590,2.643,7.24,214.24,200,0.02758,0.04105,0.03335,0.04041,0.06799,0.05067,0.05773
Catherine Mohr,CatherineMohr_2010U,42,F,White,Non-US,1061,370,2.868,6.58,204.52,202.53,0.0434,0.06509,0.05943,0.05,0.08396,0.06792,0.06698
Cedric Villani,CedricVillani_2016,43,M,White,Non-US,2042,988,2.067,7.49,201.47,188.24,0.04069,0.06863,0.05833,0.09461,0.18186,0.1,0.11863
Charity Wayua,CharityWayua_2016S,31,F,Black,L2,1635,715,2.286,7.34,216.13,228.57,0.0496,0.06124,0.08328,0.09308,0.13901,0.10961,0.08389
Charles Anderson,CharlesAnderson_2009I,,M,White,Non-US,3276,995,3.292,5.84,192.62,152.38,0.09646,0.11508,0.11996,0.14316,0.19567,0.14164,0.13584
Charles Fleischer,CharlesFleischer_2005,55,M,White,US,2746,1080,2.542,6.39,189.07,177.78,0.10306,0.13074,0.13693,0.18572,0.23634,0.18609,0.23926
Charles Leadbeater,CharlesLeadbeater_2010S,,M,White,Non-US,3077,1135,2.711,6.69,162.9,139.13,0.03674,0.05169,0.04421,0.10696,0.10761,0.0738,0.08257
Charles Robertson,CharlesRobertson_2013G,,M,White,Non-US,2076,814,2.551,6.67,187.12,168.42,0.04464,0.07715,0.06405,0.06162,0.13974,0.09267,0.08151
Charlie Todd,CharlieTodd_2011X,,M,White,US,2002,721,2.776,6.4,195.51,164.95,0.05145,0.07243,0.06044,0.08392,0.11239,0.1039,0.14635
Charmian Gooch,CharmianGooch_2014,49,F,White,Non-US,2203,971,2.269,7.05,268.69,246.15,0.0227,0.03495,0.0286,0.03404,0.06764,0.04993,0.05356
Chelsea Shields,ChelseaShields_2015F,34,F,White,US,1895,760,2.492,6.96,218.86,216.22,0.02007,0.0412,0.03751,0.03751,0.06762,0.05177,0.05283
Cheryl Hayashi,CherylHayashi_2010,,F,Asian,US,2176,865,2.515,7.01,214.98,216.22,0.05009,0.07675,0.05836,0.27987,0.15717,0.07031,0.14568
Chimamanda Adichie,ChimamandaAdichie_2009G,32,F,Black,Non-US,2845,1126,2.526,7.08,174.28,155.34,0.02988,0.03902,0.04534,0.06749,0.12654,0.07381,0.05343
Chimamanda Ngozi Adichie,ChimamandaNgoziAdichie_2012X,35,F,Black,L2,4546,1772,2.565,6.22,182.96,166.67,0.0495,0.05567,0.05875,0.08427,0.1637,0.10319,0.10891
Chinaka Hodge,ChinakaHodge_2016W,31,F,Black,US,692,241,2.869,7.58,222.5,222.22,0.01879,0.04769,0.05925,0.14306,0.10838,0.06214,0.06503
Chip Conley,ChipConley_2010,50,M,White,US,2927,1057,2.77,6.73,167.83,164.95,0.06434,0.09343,0.07666,0.12149,0.11294,0.08727,0.09103
Chip Kidd,ChipKidd_2015S,51,M,White,US,2503,1137,2.201,6.59,177.2,152.38,0.07032,0.0835,0.06992,0.06672,0.09788,0.07711,0.06392
Chris Abani,ChrisAbani_2008,42,M,Black,Non-US,2311,969,2.386,6.42,159.14,132.23,0.07399,0.07572,0.08395,0.11553,0.1826,0.119,0.10342
Chris Bangle,ChrisBangle_2002,46,M,White,US,3713,1198,3.098,6.11,163.55,160,0.05979,0.07353,0.06087,0.16159,0.10207,0.07272,0.11823
Chris Bliss,ChrisBliss_2011X,,M,White,US,2419,957,2.528,7.85,165.02,150.94,0.04589,0.04919,0.04754,0.05209,0.08268,0.05788,0.05705
Chris Downey,ChrisDowney_2013Z,,M,White,US,1789,700,2.555,6.73,184.86,156.86,0.05925,0.06931,0.08664,0.1062,0.14869,0.12689,0.1526
Chris Jordan,ChrisJordan_2008,45,M,White,US,1736,674,2.575,6.91,135.86,123.08,0.04896,0.05991,0.03399,0.04263,0.0674,0.06452,0.05069
Christiana Figueres,ChristianaFigueres_2016,60,F,Latino,Non-US,1808,894,2.022,7.16,213.1,216.22,0.01715,0.03429,0.0271,0.04038,0.05697,0.04591,0.04923
Christien Meindertsma,ChristienMeindertsma_2010G,30,F,White,L2,1481,531,2.789,6.74,209.23,207.79,0.06887,0.07968,0.07833,0.15935,0.1688,0.12289,0.15395
Christina Warinner,ChristinaWarinner_2012U,,F,White,US,842,328,2.567,8.07,215.34,210.53,0.01781,0.03563,0.03325,0.06651,0.05819,0.03444,0.038
Christine Sun Kim,ChristineSunKim_2015F,35,F,Asian,US,1671,921,1.814,6.54,183.02,188.24,0.04129,0.04907,0.05685,0.07481,0.12807,0.07002,0.11191
Christoph Adami,ChristophAdami_2011X,49,M,White,L2,3261,1128,2.89,6.37,183.8,173.91,0.06072,0.0831,0.07758,0.16222,0.10764,0.0831,0.11561
Christopher Bell,ChristopherBell_2015X,,M,Black,US,2729,952,2.866,6.23,182.52,173.91,0.02238,0.04696,0.04182,0.08401,0.08694,0.06383,0.09538
Chrystia Freeland,ChrystiaFreeland_2013G,45,F,White,Non-US,2073,924,2.243,7.64,218.78,207.79,0.01599,0.03634,0.02083,0.03052,0.06202,0.05136,0.05523
Clifford Stoll,CliffordStoll_2006,56,M,White,US,2692,1071,2.514,6.23,184.57,170.21,0.1178,0.14902,0.11966,0.17503,0.18915,0.16351,0.19361
Clint Smith,ClintSmith_2015,102,M,Black,US,946,317,2.987,7.26,157,137.93,0.01374,0.0296,0.0296,0.037,0.08668,0.04228,0.07717
Colin Camerer,ColinCamerer_2013X,54,M,White,US,2747,830,3.311,6.7,166.79,146.79,0.1131,0.14411,0.13316,0.15834,0.17439,0.13134,0.166
Colin Grant,ColinGrant_2012X,51,M,Black,Non-US,2576,1049,2.456,7.01,158.82,156.86,0.07725,0.08269,0.09239,0.09977,0.20031,0.11219,0.15722
Colin Powell,ColinPowell_2012X,75,M,Black,US,3086,1064,2.902,5.95,167.84,134.45,0.05999,0.0749,0.07231,0.08658,0.12743,0.10409,0.12289
Colin Stokes,ColinStokes_2012X,25,M,White,US,1879,773,2.43,6.59,172.6,149.53,0.05109,0.05535,0.05269,0.05748,0.08781,0.05641,0.09473
Conrad Wolfram,ConradWolfram_2010G,40,M,White,Non-US,2899,1036,2.799,6.08,159.83,158.42,0.04279,0.05418,0.04969,0.06763,0.09248,0.06453,0.10697
Dame Ellen Mac Arthur,DameEllenMacArthur_2015,39,F,White,Non-US,2811,1012,2.778,6.73,201.33,202.53,0.03132,0.04769,0.03843,0.05018,0.09786,0.0484,0.0879
Dame Stephanie Shirley,DameStephanieShirley_2015,82,F,White,Non-US,1448,823,1.759,7.33,196.52,190.48,0.04561,0.0546,0.07602,0.06496,0.14858,0.09053,0.11126
Damon Horowitz,DamonHorowitz_2011,,M,White,US,601,227,2.645,6.89,159.7,137.93,0.03161,0.04659,0.05158,0.06489,0.09983,0.10649,0.203
Dan Ariely,DanAriely_2015U,48,M,White,US,1504,538,2.796,6.14,177.96,164.95,0.05249,0.08008,0.06258,0.06729,0.0996,0.08681,0.07335
Dan Barber,DanBarber_2008P,39,M,White,US,3015,1216,2.479,6.19,171.73,153.85,0.12359,0.15914,0.13953,0.1598,0.2196,0.16312,0.15681
Dan Bricklin,DanBricklin_2016X,65,M,White,US,1862,724,2.572,6.89,159.49,148.15,0.05156,0.06015,0.05102,0.06928,0.09613,0.07948,0.07035
Dan Buettner,DanBuettner_2009X,49,M,White,US,3173,1176,2.698,6.88,232.81,213.33,0.06347,0.08936,0.07326,0.10609,0.12251,0.08431,0.09662
Dan Gross,DanGross_2016,,M,White,US,2078,823,2.525,7.21,162.19,145.45,0.02948,0.04833,0.03915,0.04398,0.06912,0.05607,0.04882
Daniel Goldstein,DanielGoldstein_2011S,42,M,White,US,2779,957,2.905,6.51,163.36,124.03,0.03863,0.0574,0.05487,0.06787,0.10072,0.05884,0.05848
Daniel Goleman,DanielGoleman_2007,61,M,White,US,2092,794,2.636,7.11,169.26,153.85,0.04017,0.055,0.05069,0.05739,0.09182,0.05978,0.06743
Daniel Levitin,DanielLevitin_2015G,58,M,White,US,2219,744,2.981,6.79,174.19,161.62,0.0321,0.05018,0.03843,0.04159,0.06058,0.03436,0.0425
Daniel Pauly,DanielPauly_2010Z,64,M,Black,L2,1159,539,2.151,7.07,156.27,125,0.14249,0.14508,0.13472,0.17444,0.24525,0.19171,0.17271
Daniel Suarez,DanielSuarez_2013G,21,M,White,US,1724,800,2.154,8.17,181.29,172.04,0.02436,0.04872,0.04292,0.03654,0.08005,0.05452,0.04988
Daniel Tammet,DanielTammet_2011,32,M,White,Non-US,1211,650,1.863,6.93,134.43,110.34,0.04459,0.06358,0.06854,0.09083,0.18084,0.10239,0.10652
Dan Meyer,DanMeyer_2010X,,M,White,US,2276,696,3.27,6.84,153.61,136.75,0.06514,0.08407,0.07967,0.09419,0.15801,0.09331,0.13424
Danny Dorling,DannyDorling_2016X,48,M,White,Non-US,1909,851,2.242,6.5,156.69,126.98,0.02887,0.03307,0.0357,0.06352,0.11864,0.07454,0.05512
Danny Hillis,DannyHillis_2013,57,M,White,US,2092,748,2.796,6.69,162.39,136.75,0.04828,0.06788,0.05115,0.08078,0.09512,0.08031,0.07075
Dan Pallotta,DanPallotta_2016,55,M,White,US,1411,720,1.959,7.14,151.89,139.13,0.01205,0.01559,0.02126,0.02197,0.03544,0.0241,0.02693
Dan Phillips,DanPhillips_2010X,,M,White,US,2945,1075,2.74,6.48,162.42,121.21,0.0885,0.10075,0.08543,0.1324,0.15521,0.12798,0.11368
Daphne Bavelier,DaphneBavelier_2012X,,F,White,L2,2864,1075,2.665,6.23,234.97,238.81,0.05204,0.0744,0.07684,0.09535,0.12504,0.09396,0.11526
Dave Brain,DaveBrain_2015X,,M,White,US,2223,826,2.691,6.32,158.53,125.98,0.03465,0.04815,0.04635,0.05536,0.07966,0.06211,0.05671
Dave Meslin,DaveMeslin_2010X,,M,White,US,1202,422,2.847,7.2,180.35,155.34,0.04326,0.04908,0.04576,0.05408,0.05491,0.0416,0.0624
