Name,File,Age,Gender,Race,Language,Words,Seconds,WPS,Readability,F0mean,F0median,YT_WER,FB_WER,MS_WER,GM_WER,WX_WER,ZM_WER,BJ_WER
Elaine Morgan,ElaineMorgan_2009G,89,F,White,Non-US,2351,1033,2.275,6.48,209.25,213.33,0.09188,0.10208,0.09953,0.14249,0.23479,0.15653,0.1544
Eli Beer,EliBeer_2013P,40,M,White,US,1740,645,2.699,6.1,188.35,188.24,0.06322,0.08046,0.09195,0.10402,0.14023,0.11092,0.09425
Elif Shafak,ElifShafak_2010G,39,F,White,L2,3176,1183,2.686,7.21,204.64,205.13,0.02802,0.05195,0.04282,0.06077,0.11241,0.05636,0.04975
Eli Pariser,EliPariser_2011,31,M,White,US,1400,541,2.586,6.74,178.19,170.21,0.05357,0.06143,0.05571,0.06571,0.06357,0.06214,0.05643
Elizabeth Gilbert,ElizabethGilbert_2014,45,F,White,US,1441,438,3.288,7.11,178.63,166.67,0.01596,0.03262,0.02012,0.02845,0.05482,0.02637,0.02845
Elizabeth Lesser,ElizabethLesser_2016W,,F,White,US,1970,949,2.076,6.58,205.66,205.13,0.01878,0.02843,0.02487,0.02995,0.04822,0.04061,0.03096
Elizabeth Lindsey,ElizabethLindsey_2010W,,F,Asian,US,1005,610,1.648,7.31,197.91,200,0.03184,0.06667,0.07164,0.06468,0.10746,0.08856,0.06468
Elizabeth Loftus,ElizabethLoftus_2013G,,F,White,US,2402,1056,2.274,7.19,248.3,250,0.01873,0.03289,0.02789,0.0587,0.05579,0.03955,0.03247
Elizabeth Murchison,ElizabethMurchison_2011G,,F,White,Non-US,1826,780,2.34,6.98,229.11,231.88,0.01973,0.03616,0.03616,0.03945,0.11836,0.04658,0.09589
Elizabeth Nyamayaro,ElizabethNyamayaro_2015W,40,F,Black,L2,1346,763,1.763,7.22,229.85,235.29,0.06389,0.08321,0.07801,0.16048,0.16048,0.11887,0.07578
Ellen Jorgensen,EllenJorgensen_2016T,61,F,White,US,1597,597,2.674,6.7,202,188.24,0.02317,0.04884,0.04133,0.05322,0.08078,0.03569,0.04634
Elora Hardy,EloraHardy_2015,35,F,White,US,1383,621,2.226,7.31,206.3,216.22,0.02892,0.047,0.047,0.04845,0.10051,0.05712,0.05785
Elyn Saks,ElynSaks_2012G,,F,White,US,2649,889,2.978,6.92,171.2,160,0.04719,0.0638,0.07248,0.0823,0.10117,0.07324,0.06833
Emily Balcetis,EmilyBalcetis_2014X,,F,White,US,2239,848,2.64,6.47,230.04,228.57,0.02599,0.03763,0.02867,0.03674,0.04973,0.04301,0.03987
Emily Oster,EmilyOster_2007,27,F,White,US,3256,935,3.483,6.24,214.49,210.53,0.07702,0.08626,0.07455,0.11152,0.13925,0.09643,0.08256
Emma Marris,EmmaMarris_2016T,37,F,White,US,2647,956,2.768,6.66,211.27,207.79,0.03896,0.05333,0.0469,0.06241,0.12254,0.06467,0.06808
Emma Teeling,EmmaTeeling_2012X,,F,White,Non-US,2531,982,2.577,6.6,235.6,228.57,0.04112,0.04745,0.05338,0.07592,0.15935,0.09846,0.08936
Emtithal Mahmoud,EmtithalMahmoud_2016P,23,F,Black,L2,1504,656,2.294,6.84,198.19,207.79,0.0326,0.04325,0.05323,0.05722,0.10845,0.07585,0.06786
Eric Berlow,EricBerlow_2010G,,M,White,US,666,219,3.038,7.86,152.39,128,0.04505,0.05405,0.06156,0.08108,0.1006,0.06456,0.06006
Eric Liu,EricLiu_2016S,48,M,Asian,US,1965,817,2.405,7.21,173.75,164.95,0.01993,0.04037,0.04088,0.04037,0.08431,0.05212,0.04088
Eric Topol,EricTopol_2009P,55,M,White,US,2816,1015,2.773,6.94,143.43,131.15,0.07158,0.09152,0.07835,0.0901,0.10613,0.09437,0.09758
Erik Brynjolfsson,ErikBrynjolfsson_2013,51,M,White,US,1580,716,2.206,7.54,178.83,160,0.0323,0.0627,0.02913,0.04117,0.08106,0.0494,0.04307
Erik Hersman,ErikHersman_2009U,34,M,White,Non-US,673,237,2.845,6.41,159.98,130.08,0.07727,0.08915,0.08767,0.0847,0.12481,0.10104,0.0951
Erik Johansson,ErikJohansson_2011S,,M,White,L2,858,378,2.267,6.48,153.54,136.75,0.02681,0.05828,0.04312,0.06177,0.10606,0.05478,0.06177
Erin McKean,ErinMcKean_2014Y,43,F,White,US,1133,417,2.72,6.26,239.22,238.81,0.04943,0.0662,0.0459,0.1218,0.11209,0.0812,0.08561
Ernesto Sirolli,ErnestoSirolli_2012X,62,M,White,L2,2133,1026,2.078,6.63,162.89,145.45,0.05206,0.07176,0.07083,0.07927,0.14165,0.09709,0.09146
Esther Duflo,EstherDuflo_2010,38,F,White,L2,2921,1004,2.909,5.94,244.21,258.06,0.07367,0.0957,0.08434,0.12496,0.20585,0.14527,0.13356
Esther Perel,EstherPerel_2015,57,F,White,Non-US,2754,1295,2.127,6.74,229.4,242.42,0.01672,0.03744,0.0269,0.04435,0.08142,0.04653,0.04544
Ethan Zuckerman,EthanZuckerman_2010G,37,M,White,US,3835,1182,3.244,6.62,180.36,164.95,0.04047,0.05953,0.04621,0.06527,0.09765,0.05953,0.04804
Euvin Naidoo,EuvinNaidoo_2007G,36,M,Black,Non-US,2785,1141,2.44,7.05,144.78,139.13,0.05562,0.0939,0.06356,0.09065,0.13976,0.09426,0.10293
Eva Vertes,EvaVertes_2005,20,F,White,US,2873,1129,2.545,6.42,240.94,250,0.05232,0.08127,0.06104,0.07499,0.12313,0.07115,0.06976
Eve Ensler,EveEnsler_2010W,57,F,White,US,2001,775,2.581,6.81,226.44,225.35,0.021,0.0335,0.032,0.036,0.0795,0.0485,0.0405
Fabien Cousteau,FabienCousteau_2014G,47,M,White,L2,1599,652,2.453,7.29,136.23,125,0.0382,0.06011,0.04258,0.04759,0.08453,0.06011,0.06074
Felix Dennis,FelixDennis_2004,57,M,White,Non-US,1905,1044,1.824,6.74,155.5,130.08,0.05827,0.07034,0.09659,0.14331,0.30604,0.16063,0.17743
Frans Lanting,FransLanting_2014,63,M,White,L2,401,215,1.869,6.98,161.27,144.14,0.03242,0.04738,0.05486,0.04988,0.11721,0.06733,0.06234
Fred Swaniker,FredSwaniker_2014G,38,M,Black,L2,2026,811,2.499,6.82,178.01,172.04,0.05528,0.06417,0.07256,0.08736,0.16338,0.10415,0.08934
Fredy Peccerelli,FredyPeccerelli_2014Y,43,M,White,L2,1410,525,2.686,6.63,130.1,100.63,0.06179,0.06392,0.07386,0.09588,0.17543,0.13636,0.10014
Freeman Dyson,FreemanDyson_2003,80,M,White,L2,2645,1145,2.309,6.31,176.12,153.85,0.0431,0.06654,0.04197,0.05633,0.10813,0.08091,0.05747
Freeman Hrabowski,FreemanHrabowski_2013,63,M,Black,US,2731,911,2.999,6.33,183.83,166.67,0.03996,0.05682,0.05205,0.06488,0.11217,0.06562,0.04692
Garik Israelian,GarikIsraelian_2009G,46,M,White,L2,2250,949,2.371,6.4,160.12,131.15,0.07737,0.11072,0.09204,0.15251,0.261,0.13161,0.11783
Garry Kasparov,GarryKasparov_2017,54,M,White,L2,1552,925,1.678,7.66,179.6,173.91,0.08204,0.10142,0.09625,0.12532,0.2584,0.16214,0.13889
Gary Greenberg,GaryGreenberg_2012X,,M,White,US,2166,723,2.996,6.29,139.15,118.52,0.06279,0.08264,0.08264,0.11542,0.19714,0.11219,0.13573
Gary Kovacs,GaryKovacs_2012U,48,M,White,US,1088,397,2.743,6.76,168.29,152.38,0.01196,0.02944,0.0368,0.0276,0.04416,0.04876,0.04232
Gary Slutkin,GarySlutkin_2013P,,M,White,US,2039,848,2.403,7.19,156.67,111.89,0.0309,0.04414,0.03531,0.11084,0.11378,0.0564,0.06229
Gavin Schmidt,GavinSchmidt_2014,,M,White,Non-US,1834,730,2.512,6.58,177.93,172.04,0.02454,0.04144,0.02999,0.05234,0.09651,0.03762,0.04471
Gayle Tzemach Lemmon,GayleTzemachLemmon_2015W,42,F,White,US,1868,688,2.715,6.87,228.84,228.57,0.01823,0.03432,0.03003,0.03432,0.09169,0.04987,0.04182
Geoffrey West,GeoffreyWest_2011G,71,M,White,Non-US,2701,1050,2.571,6.58,144.94,129.03,0.04677,0.05902,0.05939,0.06125,0.12027,0.07016,0.07721
George Ayittey,GeorgeAyittey_2007G,62,M,Black,L2,2096,1069,1.961,6.8,160.29,148.84,0.12231,0.1333,0.15002,0.21022,0.29718,0.27711,0.23985
George Dyson,GeorgeDyson_2003,,M,White,US,2922,1040,2.811,6.6,162.66,135.59,0.07666,0.11431,0.08658,0.15332,0.19713,0.10541,0.11191
George Monbiot,GeorgeMonbiot_2013G,50,M,White,Non-US,2172,911,2.385,7.71,198.76,200,0.03269,0.05617,0.05018,0.05755,0.13306,0.0686,0.06446
George Smoot,GeorgeSmoot_2008P,63,M,White,US,3778,1132,3.337,6.02,139.68,119.4,0.07599,0.09267,0.0781,0.20969,0.12788,0.09796,0.09929
George Takei,GeorgeTakei_2014X,77,M,Asian,US,1768,958,1.845,7.22,167.69,122.14,0.04072,0.05769,0.05939,0.05486,0.10916,0.07975,0.06278
Georgette Mulheir,GeorgetteMulheir_2012S,,F,White,Non-US,1628,638,2.552,7.89,207.16,213.33,0.02036,0.04565,0.02899,0.03886,0.08513,0.0438,0.03948
Gero Miesenboeck,GeroMiesenboeck_2010G,45,M,White,L2,2576,1052,2.45,7.35,149.94,139.13,0.04117,0.05981,0.04738,0.08194,0.14913,0.0866,0.08621
Gian Giudice,GianGiudice_2013X,52,M,White,L2,1860,850,2.187,7.05,216.31,200,0.03602,0.08763,0.03978,0.08548,0.15968,0.07796,0.04731
Gill Hicks,GillHicks_2016X,,F,White,Non-US,991,642,1.544,7.09,179.75,179.78,0.01615,0.0222,0.02422,0.03431,0.09687,0.05348,0.03633
Giorgia Lupi,GiorgiaLupi_2017S,36,F,White,L2,1788,678,2.639,7.3,221.51,210.53,0.04418,0.0632,0.05928,0.0811,0.14094,0.08949,0.09004
Grady Booch,GradyBooch_2016S,61,M,White,US,1593,625,2.549,7.55,155.7,129.03,0.03139,0.05399,0.03766,0.03578,0.07533,0.04018,0.04331
Graham Hawkes,GrahamHawkes_2005,58,M,White,Non-US,1888,725,2.605,6.56,152.83,134.45,0.11765,0.13778,0.13355,0.14414,0.20085,0.15898,0.16958
Graham Hill,GrahamHill_2011U,82,M,White,US,784,346,2.264,6.75,168.3,158.42,0.06378,0.08801,0.06633,0.08036,0.1199,0.09949,0.13903
Greg Asner,GregAsner_2013G,44,M,White,US,2392,830,2.881,7.07,161.7,145.45,0.03135,0.05184,0.02968,0.03428,0.08737,0.05059,0.04599
Greg Lynn,GregLynn_2005,41,M,White,US,2903,1135,2.559,7.35,127.58,108.84,0.03861,0.04378,0.0355,0.04826,0.07239,0.05274,0.05274
Gregory Petsko,GregoryPetsko_2008,60,M,White,US,590,227,2.6,7.71,174.04,163.27,0.06452,0.0798,0.06961,0.06452,0.10866,0.08829,0.0798
Gregory Stock,GregoryStock_2003,,M,White,US,2931,1071,2.736,6.51,159.13,136.75,0.06382,0.07918,0.06894,0.10034,0.1157,0.07577,0.08225
Greg Stone,GregStone_2010Z,49,M,White,US,3117,1033,3.018,6.87,155.51,136.75,0.05013,0.08194,0.05623,0.15906,0.12693,0.08901,0.07487
Hannah Fry,HannahFry_2014X,30,F,White,Non-US,2790,1026,2.719,6.76,212.42,195.12,0.07833,0.06863,0.07546,0.09917,0.1714,0.0963,0.10313
Hans Rosling,HansRosling_2006,58,M,White,L2,3138,1190,2.637,6.18,181.11,175.82,0.06656,0.08896,0.07648,0.1152,0.12704,0.08224,0.10176
Harald Haas,HaraldHaas_2011G,,M,White,L2,1846,769,2.402,6.33,158.67,132.23,0.1122,0.1355,0.12846,0.14201,0.25474,0.16369,0.17182
Harish Manwani,HarishManwani_2013S,60,M,Asian,L2,1199,470,2.553,6.7,173.2,161.62,0.02922,0.06594,0.04841,0.02755,0.09349,0.06845,0.05342
Harry Baker,HarryBaker_2014X,,M,White,Non-US,2541,842,3.016,7.1,172.76,140.35,0.1645,0.17237,0.19559,0.24006,0.33727,0.24164,0.26368
Harvey Fineberg,HarveyFineberg_2011,66,M,White,US,2300,1038,2.216,7.21,150.72,132.23,0.02479,0.03741,0.02914,0.02958,0.05394,0.03654,0.03741
Heather Barnett,HeatherBarnett_2014S,,F,White,Non-US,1734,732,2.369,7.94,213.98,210.53,0.06055,0.07382,0.06978,0.08362,0.17935,0.07843,0.08189
Hector Garcia,HectorGarcia_2015P,,M,Latino,US,1513,635,2.381,7.07,162.71,153.85,0.02776,0.0423,0.03701,0.04428,0.07403,0.05288,0.04296
Hector Ruiz,HectorRuiz_2007G,62,M,Latino,L2,3576,1191,3.002,6.56,155.33,137.93,0.06213,0.07669,0.07361,0.15197,0.11027,0.09124,0.08088
Henry Lin,HenryLin_2013Y,,M,Asian,US,1084,403,2.689,6.63,189.63,172.04,0.02122,0.03229,0.03229,0.02491,0.05166,0.03229,0.03229
Henry Markram,HenryMarkram_2009G,47,M,White,Non-US,2244,888,2.528,6.42,172.78,155.34,0.03923,0.05172,0.04369,0.05662,0.09318,0.06643,0.05707
Hilary Cottam,HilaryCottam_2015G,,F,White,Non-US,2994,1019,2.937,7.01,196.77,186.05,0.03546,0.04717,0.04684,0.05654,0.09635,0.05587,0.05888
Holly Morris,HollyMorris_2013G,,F,White,US,1243,532,2.338,8.3,229.46,225.35,0.05068,0.0716,0.06195,0.06356,0.11746,0.08206,0.06114
Honor Harger,HonorHarger_2011S,36,F,White,Non-US,1196,673,1.776,7.75,190.37,186.05,0.02592,0.04766,0.03177,0.04849,0.12709,0.06689,0.05769
Howard Rheingold,HowardRheingold_2005,58,M,White,US,2399,1171,2.049,7.94,158.59,142.86,0.0346,0.05627,0.03877,0.06336,0.07962,0.05336,0.04752
Hugh Evans,HughEvans_2016,,M,White,Non-US,2589,1021,2.536,7.24,180.92,177.78,0.03091,0.05719,0.03787,0.04173,0.09467,0.05448,0.05371
Hyeonseo Lee,HyeonseoLee_2013,33,F,Asian,L2,1592,732,2.176,6.58,206.65,202.53,0.08229,0.09045,0.10992,0.18781,0.29899,0.18719,0.20226
Ian Bremmer,IanBremmer_2016X,47,M,White,US,2341,941,2.487,6.68,181.68,164.95,0.0551,0.06877,0.06151,0.10935,0.08757,0.08543,0.06023
Ian Dunbar,IanDunbar_2007P,60,M,White,Non-US,2665,879,3.032,6.02,187.85,153.85,0.08293,0.09906,0.10582,0.14522,0.15422,0.11557,0.12233
Ian Goldin,IanGoldin_2009G,,M,White,Non-US,1268,423,2.995,7.14,134.85,116.79,0.04259,0.06309,0.05284,0.14511,0.11514,0.06703,0.06861
Ian Ritchie,IanRitchie_2011G,,M,White,Non-US,1018,338,3.009,7.23,153.19,136.75,0.07957,0.12181,0.09823,0.18566,0.23183,0.15914,0.14145
Iqbal Quadir,IqbalQuadir_2005G,47,M,Asian,L2,2317,952,2.434,6.61,172.5,166.67,0.08894,0.12278,0.08547,0.12495,0.13232,0.09718,0.09892
Ivan Coyote,IvanCoyote_2015X,46,M,White,Non-US,1488,714,2.083,6.58,208.98,219.18,0.03564,0.03564,0.04169,0.04707,0.06994,0.05985,0.05582
Ivan Krastev,IvanKrastev_2012G,47,M,White,L2,2180,842,2.59,6.56,160.58,140.35,0.09007,0.08364,0.07675,0.10846,0.14568,0.1227,0.09559
Iwan Baan,IwanBaan_2013Z,38,M,White,L2,2476,1019,2.43,8.06,151.31,118.52,0.07515,0.10465,0.0998,0.12485,0.16364,0.12121,0.11152
Jack Andraka,JackAndraka_2013,16,M,White,US,1559,686,2.272,7.21,190.21,186.05,0.09484,0.12065,0.10452,0.15419,0.17226,0.13613,0.16968
Jack Horner,JackHorner_2011,,M,White,US,2225,993,2.24,6.24,146.55,116.79,0.0782,0.09798,0.09618,0.09618,0.13798,0.11236,0.11236
Jackie Tabick,JackieTabick_2009P,61,F,White,Non-US,2005,943,2.126,6.08,193.94,200,0.0384,0.04638,0.06384,0.14314,0.20549,0.12319,0.10474
Jacqueline Novogratz,JacquelineNovogratz_2010W,49,F,White,US,2785,1063,2.62,7.32,211.26,213.33,0.02657,0.0535,0.03303,0.04704,0.08725,0.05637,0.04955
Jae Rhim Lee,JaeRhimLee_2011G,36,F,Asian,US,1024,447,2.291,7.83,221.66,216.22,0.02933,0.0479,0.04594,0.03617,0.09384,0.05572,0.08407
Jake Wood,JakeWood_2011X,39,M,White,US,880,296,2.969,6.54,173.76,146.79,0.02958,0.05575,0.05575,0.05461,0.10011,0.07053,0.08874
Jamais Cascio,JamaisCascio_2006,,M,White,US,2679,976,2.746,8.15,123.38,101.91,0.05935,0.06719,0.06346,0.07652,0.11683,0.09183,0.08324
James Balog,JamesBalog_2009G,57,M,White,US,2970,1156,2.569,6.62,145.81,124.03,0.04818,0.05964,0.05896,0.22271,0.08625,0.07244,0.06098
James Flynn,JamesFlynn_2013,,M,White,US,2730,1121,2.435,6.91,165.96,149.53,0.02716,0.05064,0.04183,0.04734,0.09541,0.06018,0.06092
James Geary,JamesGeary_2009G,47,M,White,US,1300,567,2.293,7.14,151.09,116.79,0.03156,0.05004,0.02848,0.03772,0.07698,0.05466,0.05774
James Green,JamesGreen_2015P,,M,White,US,1368,644,2.125,6.42,190.84,188.24,0.02778,0.05482,0.03874,0.03801,0.1133,0.05921,0.04825
James Hansen,JamesHansen_2012,71,M,White,US,2277,1068,2.132,8.03,155.26,136.75,0.02863,0.04934,0.02996,0.02952,0.07974,0.0674,0.03216
James Howard Kunstler,JamesHowardKunstler_2004,56,M,White,US,3143,1185,2.653,6.82,195.5,188.24,0.06013,0.06363,0.056,0.0999,0.084,0.07509,0.05854
James Nachtwey,JamesNachtwey_2007,59,M,White,US,2987,1305,2.289,8.12,136.89,106.67,0.02846,0.03683,0.03515,0.04821,0.08704,0.0549,0.03549
James Patten,JamesPatten_2013U,36,M,White,US,1083,372,2.909,7.87,151.9,134.45,0.01386,0.0268,0.01941,0.02218,0.04621,0.02957,0.02218
James Randi,JamesRandi_2007,79,M,White,Non-US,2784,1037,2.686,6.22,164.98,139.13,0.04675,0.05681,0.05106,0.10859,0.12837,0.08594,0.10068
James Stavridis,JamesStavridis_2012G,57,M,White,US,2102,991,2.121,7.18,170.34,155.34,0.05188,0.08187,0.0514,0.06045,0.09519,0.07806,0.06235
James Veitch,JamesVeitch_2016T,,M,White,Non-US,914,465,1.967,6.3,199.8,183.91,0.15427,0.16193,0.15864,0.17068,0.28884,0.20241,0.19912
James Watson,JamesWatson_2005,77,M,White,US,3079,1211,2.542,6.2,148.79,124.03,0.11776,0.12329,0.1555,0.17274,0.24073,0.16851,0.20494
Jamie Bartlett,JamieBartlett_2015G,49,M,White,Non-US,1877,841,2.232,7.56,161.38,145.45,0.04533,0.07413,0.06027,0.07307,0.11947,0.09013,0.1008
Jamie Heywood,JamieHeywood_2009P,43,M,White,US,3297,1011,3.26,6.07,150.45,137.93,0.07071,0.08498,0.08619,0.11624,0.11654,0.08892,0.1132
Jamila Raqib,JamilaRaqib_2015P,,F,Asian,US,1304,541,2.41,7.75,213.63,225.35,0.01227,0.05828,0.01534,0.03681,0.09202,0.04371,0.03681
Jan Chipchase,JanChipchase_2007,,M,White,Non-US,2687,963,2.789,6.33,195.77,160,0.03949,0.05477,0.03279,0.05291,0.10283,0.06706,0.05924
Jane Chen,JaneChen_2009I,31,F,Asian,US,774,283,2.734,7.8,187.7,172.04,0.02983,0.05837,0.0428,0.04929,0.09468,0.06226,0.05837
Jane Goodall,JaneGoodall_2002,68,F,White,Non-US,4284,1644,2.606,6.72,224.82,207.79,0.04062,0.05742,0.04669,0.08894,0.09407,0.05696,0.07376
Jane Poynter,JanePoynter_2009,,F,White,US,2735,954,2.867,6.25,245.3,242.42,0.04354,0.06147,0.04866,0.06513,0.11672,0.06733,0.0633
Janet Echelman,JanetEchelman_2011,45,F,White,US,1122,563,1.994,8.15,189.24,188.24,0.0205,0.03743,0.04724,0.041,0.08021,0.04991,0.04189
Janet Iwasa,JanetIwasa_2014U,,F,Asian,US,827,311,2.659,7.74,249.57,222.22,0.03748,0.07981,0.04958,0.04958,0.07255,0.05925,0.06651
Janine Benyus,JanineBenyus_2009G,51,F,White,US,2448,1056,2.318,7.04,188.77,183.91,0.03967,0.0544,0.05072,0.05849,0.08384,0.06626,0.06421
Janine Shepherd,JanineShepherd_2012X,50,F,White,Non-US,2939,1134,2.591,6.01,203.35,200,0.03642,0.04867,0.04629,0.06025,0.11504,0.07148,0.07522
Janna Levin,JannaLevin_2011,44,F,White,US,2933,1060,2.766,6.47,237.08,238.81,0.03375,0.04501,0.04262,0.28265,0.07944,0.04432,0.05046
Jared Diamond,JaredDiamond_2013,76,M,White,US,2586,1092,2.369,7.47,155.68,144.14,0.03248,0.06961,0.04447,0.0611,0.11988,0.06922,0.05414
Jedidah Isler,JedidahIsler_2015F,,F,Black,US,1806,826,2.186,8.38,215.3,207.79,0.03102,0.05596,0.05263,0.05042,0.09363,0.06094,0.08421
Jeffrey Brown,JeffreyBrown_2015,,M,Black,US,2595,1087,2.386,6.72,140.59,116.79,0.0744,0.08443,0.07594,0.09291,0.12259,0.09638,0.07903
Jeff Smith,JeffSmith_2012S,,M,White,US,764,297,2.569,7.88,143.86,123.08,0.04611,0.06983,0.05138,0.07773,0.11462,0.05007,0.05797
Jennifer Brea,JenniferBrea_2016T,,F,Black,US,2375,1032,2.302,7.11,161.51,155.34,0.02449,0.04434,0.05574,0.06968,0.12458,0.07601,0.06334
Jennifer Granholm,JenniferGranholm_2013,54,F,White,US,1894,758,2.497,6.89,237.12,242.42,0.04336,0.05764,0.04759,0.24167,0.07721,0.07351,0.04865
Jennifer Kahn,JenniferKahn_2016,,F,White,US,2053,750,2.739,7.09,193.22,179.78,0.04678,0.07554,0.06384,0.06774,0.11062,0.06725,0.08528
Jennifer Pahlka,JenniferPahlka_2012,43,F,White,US,2016,728,2.77,6.47,214.36,216.22,0.03125,0.04216,0.03571,0.03968,0.06796,0.06002,0.04315
Jeremy Gilley,JeremyGilley_2011G,42,M,White,Non-US,3615,1058,3.417,6.22,168.96,142.86,0.13328,0.14907,0.1463,0.2225,0.21197,0.17235,0.15212
Jeremy Heimans,JeremyHeimans_2014S,,M,White,Non-US,2583,912,2.831,6.85,197.86,190.48,0.06081,0.08947,0.07088,0.06778,0.13052,0.08017,0.07746
Jeremy Jackson,JeremyJackson_2010Z,30,M,White,US,2790,1096,2.545,6.88,171.49,132.23,0.04523,0.05097,0.0481,0.05743,0.10696,0.06676,0.04379
Jessa Gamble,JessaGamble_2010G,31,F,White,US,605,238,2.542,7.47,186.65,177.78,0.02975,0.06281,0.03306,0.04132,0.07438,0.06446,0.0562
Jessica Green,JessicaGreen_2013U,,F,White,US,1270,523,2.427,7.42,215.9,197.53,0.0189,0.04409,0.02677,0.03858,0.04882,0.04409,0.02992
Jessica Jackley,JessicaJackley_2010G,33,F,White,US,3714,1110,3.345,6.29,206.6,207.79,0.04256,0.06681,0.05334,0.13443,0.09133,0.06843,0.059
Jessica Shortall,JessicaShortall_2015X,,F,White,US,2557,949,2.694,6.56,208.21,192.77,0.02038,0.03214,0.03293,0.0345,0.06272,0.04234,0.04273
Jill Bolte Taylor,JillBolteTaylor_2008,49,F,White,US,2680,1118,2.396,6.32,240.65,250,0.05709,0.06567,0.06157,0.07425,0.0903,0.07575,0.0791
Jill Farrant,JillFarrant_2015G,,F,White,Non-US,2200,840,2.619,6.94,193.49,173.91,0.05933,0.08535,0.08854,0.12004,0.19398,0.13327,0.13145
Jill Heinerth,JillHeinerth_2015Y,50,F,White,Non-US,1002,413,2.426,7.5,210.75,210.53,0.02395,0.04291,0.02595,0.03493,0.06786,0.04591,0.05389
Jill Tarter,JillTarter_2009,65,F,White,US,2494,1275,1.956,7.82,164.49,164.95,0.02848,0.05415,0.03931,0.04934,0.09787,0.0698,0.05897
Jim Fallon,JimFallon_2009,,M,White,US,1120,386,2.902,6.56,187.96,141.59,0.11071,0.13571,0.13036,0.14554,0.175,0.15357,0.16786
Jimmy Carter,JimmyCarter_2015W,91,M,White,US,2501,1000,2.501,7.17,170.95,152.38,0.07871,0.12369,0.10803,0.10482,0.19558,0.13976,0.12731
Jimmy Nelson,JimmyNelson_2014G,,M,White,Non-US,3505,1043,3.361,5.71,180.79,172.04,0.10071,0.11384,0.11954,0.18973,0.18031,0.14066,0.14408
Jody Williams,JodyWilliams_2010W,60,F,White,US,1509,649,2.325,6.55,195.5,197.53,0.03512,0.04042,0.04639,0.06163,0.07488,0.05434,0.04307
Joe Gebbia,JoeGebbia_2016,35,M,White,US,2114,964,2.192,6.75,157.6,141.59,0.035,0.04399,0.04352,0.0544,0.08657,0.05487,0.06623
Joe Landolina,JoeLandolina_2014U,21,M,White,US,885,306,2.897,7.11,178.4,166.67,0.02034,0.07797,0.03277,0.0565,0.06441,0.06441,0.05198
Joe Madiath,JoeMadiath_2014G,64,M,Asian,L2,1282,732,1.752,7.25,179.39,183.91,0.0725,0.10875,0.09299,0.10954,0.19622,0.12136,0.11348
Joe Sabia,JoeSabia_2011S,28,M,White,US,416,228,1.824,7.45,182.07,172.04,0.05769,0.06731,0.06971,0.07452,0.15865,0.09856,0.13702
Johann Hari,JohannHari_2015G,36,M,White,Non-US,2998,886,3.383,6.57,179.85,163.27,0.06448,0.0725,0.07651,0.10692,0.14066,0.09054,0.09255
Johan Rockstrom,JohanRockstrom_2010G,45,M,White,L2,2961,1121,2.641,7.67,149.83,135.59,0.07133,0.10176,0.08114,0.13016,0.15044,0.1048,0.0977
John Delaney,JohnDelaney_2010Z,,M,White,US,3039,1247,2.437,6.98,144.55,124.03,0.03028,0.04641,0.0395,0.0576,0.08295,0.07143,0.05793
John Doerr,JohnDoerr_2007,56,M,White,US,2600,1066,2.438,6.83,173.08,120.3,0.05184,0.05803,0.04681,0.10251,0.11644,0.0971,0.053
John Hardy,JohnHardy_2010G,68,M,White,Non-US,1756,812,2.162,6.51,154.97,155.34,0.01481,0.02906,0.01823,0.02564,0.05812,0.05242,0.04387
John Lloyd,JohnLloyd_2009G,,M,White,Non-US,1661,622,2.672,6.51,151.2,128,0.05663,0.05602,0.05602,0.08976,0.13193,0.07651,0.08434
John Maeda,JohnMaeda_2012G,46,M,Asian,US,2846,998,2.851,6.03,181.01,148.15,0.09803,0.11736,0.11701,0.2059,0.18306,0.13633,0.1416
John Mc Whorter,JohnMcWhorter_2016,51,M,Black,US,1555,605,2.569,6.41,177.91,150.94,0.03087,0.03859,0.02765,0.05338,0.06752,0.04373,0.06238
John Searle,JohnSearle_2013,81,M,White,US,2536,899,2.821,6.48,172.68,153.85,0.04732,0.06822,0.0627,0.07453,0.09069,0.0627,0.06112
John Wilbanks,JohnWilbanks_2012G,,M,White,US,3201,983,3.257,6.35,169.42,149.53,0.03475,0.05542,0.04352,0.05416,0.07326,0.0526,0.05729
John Wooden,JohnWooden_2001,91,M,White,US,3182,1056,3.013,6.17,139.09,122.14,0.15493,0.15588,0.16468,0.23916,0.22062,0.17819,0.18542
Joi Ito,JoiIto_2014,48,M,Asian,US,2253,751,2.999,7.12,154.32,125.98,0.03597,0.0706,0.0444,0.06705,0.08615,0.05861,0.05417
Jok Church,JokChurch_2007,58,M,White,US,483,210,2.297,6.4,146.6,115.11,0.04149,0.05602,0.06017,0.05187,0.08091,0.06432,0.04357
Jonas Eliasson,JonasEliasson_2012X,43,M,White,L2,1489,504,2.952,6.4,225.18,200,0.0813,0.09417,0.09011,0.10569,0.14431,0.11518,0.10027
Jonas Gahr Store,JonasGahrStore_2011X,51,M,White,L2,2207,895,2.465,6.64,155.02,142.86,0.0358,0.05075,0.04939,0.05256,0.09379,0.07386,0.0512
